6.00 Mbits/sec   0.065 ms    0/ 5104 (0%) -381.428/-381.860/-380.190/ 5.346 ms  510 pps
5.00 Mbits/sec   0.073 ms    0/ 4253 (0%) -379.862/-380.243/-379.348/ 5.831 ms  425 pps
10.0 Mbits/sec   0.110 ms    0/ 8505 (0%) -378.772/-379.225/-376.739/ 4.114 ms  850 pps
5.00 Mbits/sec   0.096 ms    0/ 4253 (0%) -377.785/-378.188/-376.592/ 5.800 ms  425 pps
7.00 Mbits/sec   0.145 ms    0/ 5954 (0%) -376.796/-377.218/-375.053/ 4.888 ms  595 pps
9.00 Mbits/sec   0.064 ms    0/ 7655 (0%) -375.695/-376.121/-373.668/ 4.302 ms  765 pps
10.0 Mbits/sec   0.091 ms    0/ 8505 (0%) -374.685/-375.114/-373.430/ 4.070 ms  850 pps
10.0 Mbits/sec   0.089 ms    0/ 8505 (0%) -373.144/-373.576/-370.878/ 4.051 ms  850 pps
9.00 Mbits/sec   0.092 ms    0/ 7655 (0%) -372.186/-372.592/-370.334/ 4.260 ms  765 pps
9.00 Mbits/sec   0.131 ms    4/ 7655 (0.052%) -371.145/-371.579/-369.731/ 4.247 ms  764 pps
8.00 Mbits/sec   0.133 ms    0/ 6804 (0%) -370.129/-370.564/-368.524/ 4.492 ms  680 pps
8.00 Mbits/sec   0.085 ms    0/ 6804 (0%) -369.067/-369.511/-367.418/ 4.480 ms  680 pps
8.00 Mbits/sec   0.098 ms    0/ 6804 (0%) -368.041/-368.465/-366.653/ 4.466 ms  680 pps
6.00 Mbits/sec   0.099 ms    0/ 5103 (0%) -366.519/-366.980/-365.340/ 5.136 ms  510 pps
9.00 Mbits/sec   0.083 ms    0/ 7655 (0%) -365.471/-365.894/-364.560/ 4.182 ms  765 pps
6.00 Mbits/sec   0.085 ms    0/ 5103 (0%) -364.434/-364.807/-362.908/ 5.108 ms  510 pps
7.00 Mbits/sec   0.086 ms    0/ 5954 (0%) -363.331/-363.763/-361.195/ 4.715 ms  595 pps
7.00 Mbits/sec   0.108 ms    0/ 5954 (0%) -362.290/-362.733/-359.719/ 4.701 ms  595 pps
7.00 Mbits/sec   0.108 ms    0/ 5954 (0%) -361.283/-361.693/-359.367/ 4.687 ms  595 pps
11.0 Mbits/sec   0.094 ms    0/ 9355 (0%) -359.787/-360.199/-357.996/ 3.728 ms  935 pps
10.0 Mbits/sec   0.088 ms    0/ 8505 (0%) -358.730/-359.183/-357.614/ 3.895 ms  850 pps
9.00 Mbits/sec   0.101 ms    0/ 7654 (0%) -357.725/-358.144/-355.196/ 4.093 ms  765 pps
11.0 Mbits/sec   0.079 ms    0/ 9355 (0%) -356.686/-357.088/-355.482/ 3.693 ms  935 pps
5.00 Mbits/sec   0.059 ms    0/ 4253 (0%) -355.621/-356.043/-353.997/ 5.458 ms  425 pps
10.0 Mbits/sec   0.098 ms    0/ 8505 (0%) -354.590/-355.043/-353.103/ 3.852 ms  850 pps
